address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"674 Lanfair Dr,",648,1,,1,1988,San Jose,63,435,627,Condo/Townhome/Row Home/Co-Op,7,5,NR,"August  3, 2018 ",406000,CA,95136
"2855 Senter Rd Spc 26,",860,2,,2,1969,San Jose,42,,186,Mfd/Mobile Home,6,6,5,"August  1, 2018 ",160000,CA,95111
"6971 Rodling Dr Unit C,","1,129",2,1,3,1992,San Jose,35,435,540,Condo/Townhome/Row Home/Co-Op,6,6,8,"August  1, 2018 ",610000,CA,95138
"1786 The Alameda,","13,917",,,6,1958,San Jose,138,0.54,560,Multi-Family Home,4,3,7,"August  1, 2018 ",7800000,CA,95126
"184 Dale Dr,",888,1,,2,1925,San Jose,33,"4,896",760,Single Family Home,4,4,NR,"August  1, 2018 ",674600,CA,95127
"439 Coyote Rd,","1,056",1,1,3,1976,San Jose,34,"7,000",710,Single Family Home,4,4,5,"August  1, 2018 ",750000,CA,95111
"472 Paiute Ln,","1,757",3,,4,1965,San Jose,40,"7,205",598,Single Family Home,6,8,2,"August  1, 2018 ",1050000,CA,95123
"1666 Pinetree Ct,","1,740",2,,4,1974,San Jose,44,"7,700",667,Single Family Home,6,6,2,"August  1, 2018 ",1160000,CA,95131
"724 Adeline Ave,","1,750",2,1,3,2005,San Jose,43,748,618,Condo/Townhome/Row Home/Co-Op,7,9,NR,"August  1, 2018 ",1081000,CA,95136
"4306 Leigh Ave,","1,202",2,,3,1955,San Jose,63,"5,700",849,Single Family Home,9,8,9,"August  1, 2018 ",1020000,CA,95124
"4730 Strawberry Ln,","1,408",2,1,4,1973,San Jose,30,"1,386",915,Condo/Townhome/Row Home/Co-Op,6,7,10,"August  1, 2018 ",1288000,CA,95129
"14370 Highgrove Ct,",960,2,,3,1954,San Jose,34,"6,816",729,Single Family Home,NR,NR,5,"August  1, 2018 ",700000,CA,95127
"1544 Willow St,","1,983",2,,3,1910,San Jose,85,"6,280",696,Single Family Home,7,6,6,"August  1, 2018 ",1380000,CA,95125
"1249 Martin Ave,","1,948",2,,3,1911,San Jose,36,"7,000",821,Single Family Home,4,3,7,"August  1, 2018 ",1600000,CA,95126
"44 Park Essex Pl,","2,563",3,,5,1978,San Jose,47,"6,080",429,Single Family Home,6,4,9,"August  1, 2018 ",1100000,CA,95136
"6569 Crown Blvd,","3,662",,,6,1973,San Jose,21,0.29,498,Multi-Family Home,9,6,10,"August  1, 2018 ",1825000,CA,95120
"640 Gridley St,",900,1,,3,1963,San Jose,41,"5,000",811,Single Family Home,8,4,NR,"July 31, 2018 ",730000,CA,95127
