address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"2052 Gold St # 301,","1,606",2,,3,2013,Alviso,111,,205,Mfd/Mobile Home,5,6,8,10-Jul-18,329000,CA,95002
"123 Austin Ct,","1,525",2,,4,2002,San Jose,49,"4,800",580,Single Family Home,8,6,6,7-Aug-18,885000,CA,95110
"160 N Montgomery St,","2,155",1,1,2,1980,San Jose,75,"5,840",445,Single Family Home,2,3,7,31-Jul-18,960000,CA,95110
"1022 Locust St,","1,980",3,,4,1928,San Jose,45,"5,000",530,Single Family Home,4,6,6,27-Jul-18,1050000,CA,95110
"175 W Saint James St Unit 1106,","1,190",2,,2,2006,San Jose,41,285,758,Condo/Townhome/Row Home/Co-Op,3,3,7,25-Jul-18,901568,CA,95110
"685 Locust St,","1,266",1,,3,1908,San Jose,30,"6,070",648,Single Family Home,2,7,7,20-Jul-18,820000,CA,95110
"1316 Keoncrest Ave,","1,241",1,,3,1947,San Jose,31,"5,610",846,Single Family Home,3,4,7,19-Jul-18,1050000,CA,95110
"38 N Almaden Blvd Unit 906,",790,1,,1,2008,San Jose,1,164,956,Condo/Townhome/Row Home/Co-Op,3,3,7,18-Jul-18,755000,CA,95110
"1550 Technology Dr Unit 1108,","1,264",2,,2,2005,San Jose,93,"1,264",672,Condo/Townhome/Row Home/Co-Op,6,4,1,6-Jul-18,850000,CA,95110
"46 W Julian St Unit 533,","1,596",2,,2,2004,San Jose,38,435,625,Condo/Townhome/Row Home/Co-Op,3,3,7,6-Jul-18,998000,CA,95110
"46 W Julian St Unit 203,","2,592",3,,3,2004,San Jose,36,435,482,Condo/Townhome/Row Home/Co-Op,3,3,7,20-Jun-18,1250000,CA,95110
"1529 Sanborn Ave,","2,365",3,,5,1900,San Jose,40,"5,805",486,Multi-Family Home,8,6,6,18-Jun-18,1150000,CA,95110
"1030 Vine St,","1,511",2,,3,1998,San Jose,17,"5,880",534,Single Family Home,4,6,6,15-Jun-18,806688,CA,95110
"1345 Palm St,","1,118",2,,2,1986,San Jose,17,"1,500",581,Condo/Townhome/Row Home/Co-Op,8,6,6,15-Jun-18,650000,CA,95110
"1550 Technology Dr Unit 1070,","1,133",2,,2,2005,San Jose,41,"1,133",752,Condo/Townhome/Row Home/Co-Op,6,4,1,13-Jun-18,852000,CA,95110
"81 Cottage Grove Ave,",905,1,,2,1925,San Jose,41,"3,680",725,Single Family Home,8,6,6,13-Jun-18,656000,CA,95110
"2855 Senter Rd Spc 26,",860,2,,2,1969,San Jose,42,,186,Mfd/Mobile Home,6,6,5,1-Aug-18,160000,CA,95111
"439 Coyote Rd,","1,056",1,1,3,1976,San Jose,34,"7,000",710,Single Family Home,4,4,5,1-Aug-18,750000,CA,95111
"3230 Kenhill Dr,","1,164",1,1,3,1987,San Jose,43,575,537,Condo/Townhome/Row Home/Co-Op,3,6,5,31-Jul-18,625000,CA,95111
"529 Sheridan Pl,","1,132",2,,3,1959,San Jose,29,"5,500",632,Single Family Home,6,6,5,27-Jul-18,715000,CA,95111
"134 Azucar Ave,","1,675",3,,4,1960,San Jose,77,"5,600",439,Single Family Home,3,4,9,27-Jul-18,735000,CA,95111
"277 Racine Pl,","1,568",3,,4,1998,San Jose,17,"2,816",298,Single Family Home,3,6,5,24-Jul-18,467500,CA,95111
"738 Pinto Dr,","1,647",,,4,1969,San Jose,53,"6,461",577,Multi-Family Home,3,6,5,16-Jul-18,950000,CA,95111
"2855 Senter Rd Spc 85,","1,130",2,,3,2001,San Jose,73,,193,Mfd/Mobile Home,6,6,5,16-Jul-18,218000,CA,95111
"4895 Dickinson Dr,","2,256",2,1,4,1979,San Jose,69,0.26,426,Single Family Home,2,4,9,10-Jul-18,960000,CA,95111
"183 Page Mill Dr,","1,243",2,,3,1963,San Jose,40,"5,304",628,Single Family Home,3,4,9,10-Jul-18,780000,CA,95111
"2664 Senter Rd Apt 230,","1,026",2,,2,1989,San Jose,37,"1,026",595,Condo/Townhome/Row Home/Co-Op,6,6,5,6-Jul-18,610000,CA,95111
"173 Senter Rd,","1,308",2,,4,1959,San Jose,,"5,000",539,Single Family Home,3,4,5,6-Jul-18,705000,CA,95111
"602 Hermes Ct,","1,496",2,1,3,1989,San Jose,38,"3,002",498,Condo/Townhome/Row Home/Co-Op,6,9,2,30-Jun-18,745000,CA,95111
"411 Lewis Rd Spc 233,",684,1,,2,1970,San Jose,141,,183,Mfd/Mobile Home,6,6,5,29-Jun-18,125000,CA,95111
"5450 Monterey Hwy Spc 61,","1,355",2,,3,2001,San Jose,95,,155,Mfd/Mobile Home,3,4,9,29-Jun-18,210000,CA,95111
"4506 Bolero Dr,","1,137",2,,3,1958,San Jose,29,"5,700",721,Single Family Home,4,4,5,27-Jun-18,820000,CA,95111
"222 Chateau La Salle Dr,","1,536",2,,2,1980,San Jose,63,,160,Mfd/Mobile Home,7,9,NR,21-Jun-18,245000,CA,95111
"189 Kenbrook Cir,","1,008",2,,2,1987,San Jose,38,528,575,Condo/Townhome/Row Home/Co-Op,3,6,5,21-Jun-18,580000,CA,95111
"198 Esfahan Dr Unit 1,","1,452",3,,3,2018,San Jose,2,,661,Condo/Townhome/Row Home/Co-Op,3,6,9,20-Jun-18,960000,CA,95111
"2600 Senter Rd,","1,120",2,,2,1979,San Jose,109,,205,Mfd/Mobile Home,6,9,5,18-Jun-18,229400,CA,95111
"518 Century Oaks Way,","1,879",2,,4,1976,San Jose,31,"6,000",559,Single Family Home,8,7,9,15-Jun-18,1050000,CA,95111
"5248 Snow Dr,","3,416",,,8,1973,San Jose,43,0.24,492,Multi-Family Home,2,4,9,15-Jun-18,1680000,CA,95111
"4696 Ventura Ave,","1,363",2,,3,1966,San Jose,1,"6,400",598,Single Family Home,2,4,9,15-Jun-18,815000,CA,95111
"411 Lewis Rd,","1,040",2,,2,1981,San Jose,176,,152,Mfd/Mobile Home,6,6,5,15-Jun-18,158000,CA,95111
"270 Umbarger Rd,","1,040",2,,3,1993,San Jose,146,,188,Mfd/Mobile Home,6,6,5,15-Jun-18,195000,CA,95111
"5450 Monterey Rd,","1,520",2,,2,1975,San Jose,154,,135,Mfd/Mobile Home,3,4,9,15-Jun-18,205000,CA,95111
"3868 Kauai Dr,","1,200",2,,4,1960,San Jose,68,"5,151",100,Single Family Home,6,6,5,13-Jun-18,119500,CA,95111
"479 War Admiral Ave,","1,120",2,,3,1961,San Jose,39,"5,500",723,Single Family Home,2,4,9,13-Jun-18,810000,CA,95111
"3621 Sweet Brook Ct,","1,786",2,1,5,1998,San Jose,30,"3,168",479,Single Family Home,6,6,5,14-Jun-18,855000,CA,95111
"2150 Monterey Rd Spc 196,",880,2,,2,1995,San Jose,68,,240,Mfd/Mobile Home,6,7,9,7-Aug-18,211000,CA,95112
"856 S 3rd St,","1,018",2,,3,1908,San Jose,33,"4,000",761,Single Family Home,4,7,7,31-Jul-18,775000,CA,95112
"635 E Mission St,","1,332",2,1,2,1910,San Jose,31,"2,940",627,Single Family Home,3,4,NR,31-Jul-18,835000,CA,95112
"435 N 2nd St Unit 225,","1,548",3,,3,1994,San Jose,21,435,548,Condo/Townhome/Row Home/Co-Op,3,3,4,31-Jul-18,848000,CA,95112
"769 Modern Ice Dr,","1,288",2,1,2,2009,San Jose,39,"1,525",679,Condo/Townhome/Row Home/Co-Op,3,1,NR,30-Jul-18,875000,CA,95112
"964 N 2nd St,","1,932",,,,1950,San Jose,11,"6,771",621,Multi-Family Home,3,4,1,30-Jul-18,1200000,CA,95112
"144 S 3rd St Unit 315,","1,421",2,,2,1996,San Jose,,"1,536",602,Condo/Townhome/Row Home/Co-Op,3,5,7,27-Jul-18,855000,CA,95112
"419 N 5th St,","2,388",4,,6,1906,San Jose,39,"9,404",461,Multi-Family Home,3,3,NR,27-Jul-18,1100000,CA,95112
"144 S 3rd St Unit 134,","1,542",2,1,2,1996,San Jose,41,435,558,Condo/Townhome/Row Home/Co-Op,3,5,7,26-Jul-18,860000,CA,95112
"900 Golden Wheel Park Dr Spc 197,","1,080",2,,2,1982,San Jose,50,,194,Mfd/Mobile Home,6,1,NR,25-Jul-18,210000,CA,95112
"125 Patterson St Unit 303,","1,045",1,1,1,2006,San Jose,73,728,569,Condo/Townhome/Row Home/Co-Op,4,7,7,24-Jul-18,595000,CA,95112
"390 Jackson St,","1,380",2,1,2,2003,San Jose,35,665,696,Condo/Townhome/Row Home/Co-Op,3,3,NR,24-Jul-18,960000,CA,95112
"324 N 20th St,",948,2,,2,1906,San Jose,32,"5,750",949,Single Family Home,3,5,NR,23-Jul-18,900000,CA,95112
